編號,語言,詞語,轉寫1,轉寫2,翻譯,
PAN30846,原始南島語,*punay,,,小綠鳩,https://acd.clld.org/cognatesets/30846
PAN29993,原始南島語,*puNi,,,潔白,https://acd.clld.org/cognatesets/29993
PAN29962,原始南島語,*punuq,,,腦；髓質,https://acd.clld.org/cognatesets/29962
PAN29963,原始南島語,*puSaN,,,雙倍,https://acd.clld.org/cognatesets/29963
PAN27554,原始南島語,*qabu,,,灰燼,https://acd.clld.org/cognatesets/27554
PAN27555,原始南島語,*qaCay,,,肝臟,https://acd.clld.org/cognatesets/27555
PAN27564,原始南島語,*qalad,,,圍籬；牆,https://acd.clld.org/cognatesets/27564
PAN32003,原始南島語,*qalima,,,手,https://acd.clld.org/cognatesets/32003
PAN27606,原始南島語,*qaNi-,,,(與神靈、自然有 關),https://acd.clld.org/cognatesets/27606
PAN27710,原始南島語,*qañud,,,漂流,https://acd.clld.org/cognatesets/27710
PAN27619,原始南島語,*qanup,,,打獵,https://acd.clld.org/cognatesets/27619
PAN27616,原始南島語,*qaNuaŋ,,,大型反芻動物(水牛?),https://acd.clld.org/cognatesets/27616
PAN27645,原始南島語,*qaSelu,,,杵,https://acd.clld.org/cognatesets/27645
PAN27687,原始南島語,*qayam,,,鳥,https://acd.clld.org/cognatesets/27687
PAN27711,原始南島語,*qebel,,,煙,https://acd.clld.org/cognatesets/27711
PAN27712,原始南島語,*qeCah,,,米糠,https://acd.clld.org/cognatesets/27712
PAN29943,原始南島語,*qeCeŋeN,,,黑色,https://acd.clld.org/cognatesets/29943
PAN27733,原始南島語,*qenay,,,砂土,https://acd.clld.org/cognatesets/27733
PAN27735,原始南島語,*qeNeb,,,關；門,https://acd.clld.org/cognatesets/27735
PAN27839,原始南島語,*quay,,,藤,https://acd.clld.org/cognatesets/27839
PAN27850,原始南島語,*qudip,,,生命；活著,https://acd.clld.org/cognatesets/27850
PAN27867,原始南島語,*quluh,,,頭部,https://acd.clld.org/cognatesets/27867
PAN27868,原始南島語,*qumah,,,火耕田,https://acd.clld.org/cognatesets/27868
PAN27902,原始南島語,*quSuŋ,,,可食用菇類,https://acd.clld.org/cognatesets/27902
PAN27912,原始南島語,*quzaN,,,雨水,https://acd.clld.org/cognatesets/27912
PAN28014,原始南島語,*Riaq,,,白茅,https://acd.clld.org/cognatesets/28014
PAN29922,原始南島語,*Rubu,,,巢穴,https://acd.clld.org/cognatesets/29922
PAN30434,原始南島語,*Rudaŋ,,,年老,https://acd.clld.org/cognatesets/30434
PAN28052,原始南島語,*RuqaNay,,,男性,https://acd.clld.org/cognatesets/28052
PAN29923,原始南島語,*sakeC,,,山羌,https://acd.clld.org/cognatesets/29923
PAN29950,原始南島語,*Samaq,,,山萵苣,https://acd.clld.org/cognatesets/29950
PAN31220,原始南島語,*sapu,,,擦拭；掃,https://acd.clld.org/cognatesets/31220
PAN28117,原始南島語,*Sapuy,,,火,https://acd.clld.org/cognatesets/28117
PAN31019,原始南島語,*sebu,,,膀胱,https://acd.clld.org/cognatesets/31019
PAN28202,原始南島語,*Señaw,,,洗滌,https://acd.clld.org/cognatesets/28202
PAN28187,原始南島語,*Sepat,,,四,https://acd.clld.org/cognatesets/28187
PAN30389,原始南島語,*sepsep,,,吸吮,https://acd.clld.org/cognatesets/30389
PAN30671,原始南島語,*SeReC,,,綁緊；腰帶,https://acd.clld.org/cognatesets/30671
PAN28200,原始南島語,*Seyup,,,吹氣,https://acd.clld.org/cognatesets/28200
PAN32371,原始南島語,*Si-,,,穿戴,https://acd.clld.org/cognatesets/32371
PAN28224,原始南島語,*Sikan,,,魚類,https://acd.clld.org/cognatesets/28224
PAN28241,原始南島語,*SimaR,,,油脂,https://acd.clld.org/cognatesets/28241
