編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
701813,23,kematung,,3231030,,U,煞車(動詞),34其他,,,,
701815,23,kemava,,3230668,,B,著衣,25行動,,,,
701816,23,kemavakav,,3230711,,I,游泳,26肢體動作,,,,
701818,23,kemavulj,,3230658,,S,向人家要(東西),25行動,,,,
701822,23,kemelem,,3230688,,S,打(人),26肢體動作,,,,
701824,23,kemeljang,,3230805,,B,知道,28認知感官,,,,
701826,23,kemerap,,3230661,,U,蔓衍,25行動,,,,
701828,23,kemeretj,,3230754,,I,割,26肢體動作,,,,
701829,23,kemesa,,3230864,,U,烹煮(飯／肉／地瓜),30生活作息,,,,
701831,23,kemezekez,,3230889,,S,鎖上,30生活作息,,,,
701833,23,kemim,,3231031,,I,尋找,34其他,,,,
701836,23,kemitj,,3230710,,I,切,26肢體動作,,,,
701847,23,kemuda,,3230068,,I,如何,03疑問詞,,,,
701854,23,kemuljaw,,3230863,,I,烤(如烤地瓜),30生活作息,,,,
701858,23,kemungatj,,3230798,,U,啃,27飲食,,,,
701863,23,kenama,,3230801,,B,吃早餐,27飲食,,,,
701865,23,kencengelj,,3230802,,B,吃午餐,27飲食,,,,
701871,23,kerilj,,3230238,,S,麻雀,07動物(含昆蟲),,,,
701889,23,kiamaw,,3230664,,S,趕上,25行動,,,,
701895,23,kiaya,,3230744,,S,採收,26肢體動作,,,,
701900,23,kicacevung,,3230656,,U,接(人),25行動,,,,
701904,23,kicakaw,,3230974,,U,偷偷地,32特徵,,,,
701909,23,kicaquan,,3230856,,I,學習,30生活作息,,,,
701914,23,kicepeliw,,3230649,,U,折返,25行動,,,,
701933,23,kigalju,,3230997,,I,慢慢(祈使),32特徵,,,,
701956,23,kilalaing,,3230883,,I,照顧,30生活作息,,,,
701969,23,kiljaljava,,3230865,,S,等待,30生活作息,,,,
701974,23,kiljavaran,,3230807,,B,說,28認知感官,,,,
701975,23,kiljinga,,3230819,,S,謾罵,28認知感官,,,,
701976,23,kiljivak,,3230836,,S,疼愛,29情緒思維,,,,
701976,23,kiljivak,,3230839,,U,愛護,29情緒思維,,,,
701987,23,kina,,3230081,,B,媽媽,04親屬稱謂,,,,
701987,23,kina,,3230105,,B,(伯母；嬸嬸；舅母)通稱,04親屬稱謂,,,,
701993,23,kinacavacavan,,3230139,,B,身體,06身體部位,,,,
702008,23,kinakina,,3230231,,S,雌性(動物),07動物(含昆蟲),,,,
702019,23,kinamarecekeljan,,3230627,,S,婚姻,24抽象名詞,,,,
702028,23,kinaqadavan,,3230616,,I,日子,24抽象名詞,,,,
702056,23,kinavic,,3230715,,I,揹負(物品),26肢體動作,,,,
702102,23,kinsa,,3230576,,B,飯,21食物(非植物),,,,
702111,23,kinuwang,,3230690,,I,射擊,26肢體動作,,,,
702125,23,kipalingulj,,3231046,,U,圍著某物,34其他,,,,
702128,23,kipaparangez,,3231023,,U,依賴,34其他,,,,
702186,23,kiqaung,,3230831,,B,禱告,28認知感官,,,,
702205,23,kiqunu,,3230884,,S,剪(頭髮),30生活作息,,,,
702220,23,kisac,,3230120,,U,警察,05人物、身分,,,,
702237,23,kisedjam,,3230637,,I,借,25行動,,,,
702246,23,kisi,,3230341,,I,碗,09物品(不含食品),,,,
702249,23,kisigidi,,3230768,,I,側臥,26肢體動作,,,,
702252,23,kisiya,,3230575,,U,火車,20交通,,,,
702256,23,kisululjayan,,3230853,,U,休息,30生活作息,,,,
702260,23,kisuqadaw,,3231084,,S,整天,36助詞或其他,,,,
702272,23,kitailju,,3230651,,S,讓開,25行動,,,,
702274,23,kitangez,,3230766,,U,依靠,26肢體動作,,,,
702289,23,kitjelangalj,,3230857,,I,仰臥,30生活作息,,,,
702298,23,kitulu,,3230856,,I,學習,30生活作息,,,,
702310,23,kivadaq,,3230816,,I,詢問,28認知感官,,,,
702313,23,kivala,,3230679,,B,拜訪,25行動,,,,
702317,23,kivalidi,,3231045,,U,旋轉,34其他,,,,
702323,23,kivangavang,,3230906,,B,玩耍,30生活作息,,,,
702329,23,kivauvalj,,3230897,,S,模仿,30生活作息,,,,
702335,23,kivetjek,,3230884,,S,剪(頭髮),30生活作息,,,,
702340,23,kiyukay,,3230530,,S,教會,17宗教,,,,
702345,23,kizengtjel,,3230778,,U,低下頭,26肢體動作,,,,
702346,23,kizing,,3230359,,S,湯匙,09物品(不含食品),,,,
702360,23,kubaw,,3230450,,S,穀倉,12建築,,,,
702363,23,kucepad,,3230985,,U,澀澀的(味覺),32特徵,,,,
702365,23,kuciu,,3230123,,I,校長,05人物、身分,,,,
702367,23,kucu,PAN30459,3230219,,U,頭蝨,07動物(含昆蟲),,,,
702367,23,kucu,JPN121,3230555,,U,鞋子,18織布服飾,,,,
702373,23,kudamunu,JPN120,3230275,,U,水果,08植物,,,,
702376,23,kudrakudral,,3230931,,B,大的,32特徵,,,,
702378,23,kudral,,3230953,,I,胖(身形),32特徵,,,,
702378,23,kudral,,3230999,,I,粗(物),32特徵,,,,
702383,23,kudresul,,3230989,,S,很硬,32特徵,,,,
702387,23,kuisang,JPN119,3230115,,B,醫生,05人物、身分,,,,
702389,23,kuku,,3230249,,S,幼犬,07動物(含昆蟲),,,,
702392,23,kula,,3230141,,B,腳,06身體部位,,,,
702393,23,kulakula,,3230391,,S,山腳下,10山川地理,,,,
702394,23,kulavau,PAN30656,3230197,,B,老鼠,07動物(含昆蟲),,,,
702400,23,kuli,JPN117,3230419,,S,冰,11自然景觀,,,,
702401,23,kulic,,3230215,,U,陰莖(雄性生殖器),07動物(含昆蟲),,,,
702411,23,kuljay,,3231001,,U,細,32特徵,,,,
702419,23,kumakuma,,3230214,,S,蜘蛛,07動物(含昆蟲),,,,
702420,23,kumalji,,3231063,,U,不論,36助詞或其他,,,,
702426,23,kun,,3230554,,S,傳統女裙,18織布服飾,,,,
702433,23,kungay,,3230338,,S,污垢,09物品(不含食品),,,,
702434,23,kungkuan,,3230438,,B,學校,12建築,,,,
702440,23,kupu,,3230346,,S,杯子,09物品(不含食品),,,,
702445,23,kuravak,,3230089,,S,弟媳(平輩稱謂),04親屬稱謂,,,,
702445,23,kuravak,,3230090,,S,嫂嫂(平輩稱謂),04親屬稱謂,,,,
702445,23,kuravak,,3230088,,U,舅子(平輩稱謂),04親屬稱謂,,,,
702455,23,kutji,PAN30379,3230156,,U,女性生殖器,06身體部位,,,,
702457,23,kuvekuv,,3230509,,S,倉庫,15農耕,,,,
702459,23,kuvulj,,3230394,,U,草原,10山川地理,,,,
702461,23,kuwang,,3230519,,U,槍,16狩獵,,,,
702469,23,kuzulj,,3230037,,S,一千,01數字計量,,,,
702470,23,ladjap,,3230415,,S,閃電,11自然景觀,,,,
702472,23,ladruq,,3231000,,I,長,32特徵,,,,
702477,23,lala,,3230390,,I,洞穴,10山川地理,,,,
702479,23,lalang,,3230552,,U,妝扮飾物,18織布服飾,,,,
702482,23,lalangaw,PAN30430,3230220,,I,蒼蠅,07動物(含昆蟲),,,,
702490,23,laljing,,3230371,,S,水管,09物品(不含食品),,,,
702517,23,lava,PAN29910,3230206,,I,飛鼠,07動物(含昆蟲),,,,
702520,23,lavu,,3230599,,S,米糠,21食物(非植物),,,,
702530,23,legelegen,,3230695,,S,搖動,26肢體動作,,,,
702532,23,lekelek,,3230550,,U,苧麻線,18織布服飾,,,,
702532,23,lekelek,,3230565,,U,織布用的素麻線,18織布服飾,,,,
702538,23,lemaing,,3230747,,U,追,26肢體動作,,,,
702539,23,lemakeculj,,3230753,,U,跨過,26肢體動作,,,,
702545,23,lemamedj,,3230791,,S,吞嚥,27飲食,,,,
702548,23,lemangeda,,3230822,,B,聽,28認知感官,,,,
702562,23,leming(e)djelj,,3230751,,S,豎立,26肢體動作,,,,
702564,23,lemingedjelj,,3231036,,S,設置(無形的),34其他,,,,
702574,23,lemugalug,,3230746,,S,搖動,26肢體動作,,,,
702578,23,lemum,,3230513,,U,催熟(果實),15農耕,,,,
702585,23,lemutud,,3230908,,S,痛(內/摸不到),31生老病死傷,,,,
702595,23,levecan,,3230868,,U,以杓汲水(祈使),30生活作息,,,,
702606,23,likau,,3230540,,U,女用耳環,18織布服飾,,,,
702613,23,likuculju,,3230784,,B,蹲下,26肢體動作,,,,
